2026-04-06 11:31:53.624 [main] INFO  c.e.signature.SignatureApplication - Starting SignatureApplication using Java 17.0.16 with PID 13540 (C:\Users\LENOVO\Desktop\Projet Signature\xml-signature-springboot-complete\target\classes started by LENOVO in C:\Users\LENOVO\Desktop\Projet Signature\xml-signature-springboot-complete)
2026-04-06 11:31:53.627 [main] INFO  c.e.signature.SignatureApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-06 11:32:00.411 [main] INFO  c.e.signature.SignatureApplication - Started SignatureApplication in 7.196 seconds (process running for 7.737)
2026-04-06 11:33:00.009 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Début traitement automatique des signatures...
2026-04-06 11:33:00.555 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Fin traitement signatures
2026-04-06 11:34:00.004 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Début traitement automatique des signatures...
2026-04-06 11:34:00.781 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Fin traitement signatures
2026-04-06 11:34:03.388 [main] INFO  c.e.signature.SignatureApplication - Starting SignatureApplication using Java 17.0.16 with PID 17572 (C:\Users\LENOVO\Desktop\Projet Signature\xml-signature-springboot-complete\target\classes started by LENOVO in C:\Users\LENOVO\Desktop\Projet Signature\xml-signature-springboot-complete)
2026-04-06 11:34:03.389 [main] INFO  c.e.signature.SignatureApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-06 11:34:08.625 [main] INFO  c.e.signature.SignatureApplication - Started SignatureApplication in 5.525 seconds (process running for 5.916)
2026-04-06 11:35:00.014 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Début traitement automatique des signatures...
2026-04-06 11:35:00.556 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Fin traitement signatures
2026-04-06 11:36:00.002 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Début traitement automatique des signatures...
2026-04-06 11:36:00.594 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Fin traitement signatures
2026-04-06 11:36:58.145 [main] INFO  c.e.signature.SignatureApplication - Starting SignatureApplication using Java 17.0.16 with PID 13600 (C:\Users\LENOVO\Desktop\Projet Signature\xml-signature-springboot-complete\target\classes started by LENOVO in C:\Users\LENOVO\Desktop\Projet Signature\xml-signature-springboot-complete)
2026-04-06 11:36:58.153 [main] INFO  c.e.signature.SignatureApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-06 11:37:04.975 [main] INFO  c.e.signature.SignatureApplication - Started SignatureApplication in 7.219 seconds (process running for 7.793)
2026-04-06 11:38:00.024 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Début traitement automatique des signatures...
2026-04-06 11:38:00.594 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Fin traitement signatures
2026-04-06 11:38:39.721 [main] INFO  c.e.signature.SignatureApplication - Starting SignatureApplication using Java 17.0.16 with PID 2784 (C:\Users\LENOVO\Desktop\Projet Signature\xml-signature-springboot-complete\target\classes started by LENOVO in C:\Users\LENOVO\Desktop\Projet Signature\xml-signature-springboot-complete)
2026-04-06 11:38:39.724 [main] INFO  c.e.signature.SignatureApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-06 11:38:46.377 [main] INFO  c.e.signature.SignatureApplication - Started SignatureApplication in 7.203 seconds (process running for 7.592)
2026-04-06 11:39:00.012 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Début traitement automatique des signatures...
2026-04-06 11:39:09.465 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Fin traitement signatures
2026-04-06 11:40:00.012 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Début traitement automatique des signatures...
2026-04-06 11:40:00.481 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Fin traitement signatures
2026-04-06 11:41:00.012 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Début traitement automatique des signatures...
2026-04-06 11:41:00.465 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Fin traitement signatures
2026-04-06 11:42:00.004 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Début traitement automatique des signatures...
2026-04-06 11:42:00.513 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Fin traitement signatures
2026-04-06 11:43:00.002 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Début traitement automatique des signatures...
2026-04-06 11:43:00.452 [scheduling-1] INFO  c.e.s.Scheduler.SignatureScheduler - Fin traitement signatures
2026-04-06 11:43:57.129 [main] INFO  c.e.signature.SignatureApplication - Starting SignatureApplication using Java 17.0.16 with PID 19256 (C:\Users\LENOVO\Desktop\Projet Signature\xml-signature-springboot-complete\target\classes started by LENOVO in C:\Users\LENOVO\Desktop\Projet Signature\xml-signature-springboot-complete)
2026-04-06 11:43:57.132 [main] INFO  c.e.signature.SignatureApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-06 11:44:04.244 [main] INFO  c.e.signature.SignatureApplication - Started SignatureApplication in 7.663 seconds (process running for 8.071)
